NID,Topic,Topic Created,Topic Body
32287,?Invitation to the Scratch International Programming Trial SCRIPT 2015,2/11/15 15:52,"I would like to invite you to participate in SCRIPT 2015—SCRatch International Programming Trial. There will be 2 events: Scratch programming competition according to the rules at http://1drv.ms/1CfdQ1B. Symposium according to the rules at http://1drv.ms/1EWNvLw. It is possible to participate in both activities (contest and symposium) or just in one. For this edition of the contest will only be accepted projects written in Scratch 2.0. The deadlines of the SCRIPT 2015 competition are: 07 March 2015 – Registering for competition at http://goo.gl/forms/bLgIAhrhy3. 15 June 2015 – Submitting the projects by email at scriptrial@gmail.com. Each coordinator teacher will receive by email a registration form (an Excel file) which will fill in. Scratch projects will be renamed according to the names generated automatically in the registration form. Filled in registration form and the renamed Scratch projects will be sent at scriptrial@gmail.com. 10 August 2015 – Announcing results. 24 August 2015 – Sending diplomas by snail mail. 09 September 2015 – Creating a gallery with awarded projects. The deadlines of the SCRIPT 2015 symposium are: 15 May 2015 – Registering for symposium at http://goo.gl/forms/tKNBlqvUlt. 02 June 2015 – Submitting material for symposium at scriptrial@gmail.com. 03 June 2015 – Conducting online symposium. Some projects from previous SCRIPT editions are posted at: http://bit.ly/Olgxgl – projects submitted for SCRIPT 2012. http://bit.ly/1gq88yl – projects awarded in SCRIPT 2013. http://bit.ly/1tA5dKQ – projects awarded in SCRIPT 2014. If you need some supplementary information, please do not hesitate to contact me: Mihai Agape, scriptrial@gmail.com or mihai_agape@yahoo.com, +40 (728) 286365."
1127,.sb projects invisible on Resource page,10/12/09 12:33,"I just added a Scratch Project to the resource page. My project uploaded fine, and there is a link to the project in the horizontal scrolling area.  However, no image of the project displays, so the scrolling area appears to be empty."
1127,.sb projects invisible on Resource page,10/12/09 17:35,"Thanks for pointing it out! I've added it to my bug list. In the meantime, I've manually uploaded the pictures, so the Scratch thumbnail shouldn't be blank anymore. Thanks for the report, K"
1127,.sb projects invisible on Resource page,11/14/09 19:08,This should now be fixed. Thanks for the report!
22675,"""Comment field is required"" with Firefox 23",9/25/13 6:08,"Hi, Just thought I'd let you know, I have to use Chrome to post on this forum, as when I try to reply to a thread with Firefox 23, I get ""Comment field is required"" and cannot proceed. Kind regards Peteri"
22675,"""Comment field is required"" with Firefox 23",9/25/13 12:41,"Hi Peteri, Thanks for the bug notification! We're currently working on a development plan for making some updates to the site, which will hopefully optimize performance across platforms. Sincerely, Michelle, on behalf of the ScratchEd Team"
11143,"""I am a teacher with little knowledge in Computing. Can I still assist and lead during LEGO We Do / Scratch activities?""",11/27/11 11:20,"Hi folks, I am a teacher with little knowledge in Computing. Can I still assist and lead during LEGO We Do / Scratch activities? Well actually I am very knowledgeable in computing because that's my profession (IT Consultant). I am starting a project (XO olpc laptop, Lego We Do and Scratch) at a primary school and I am thinking in what extent should I give training to the teachers who will eventually take lead and give instructions in the classroom. My role is to provide and setup the technological environment. In the end teachers should be capable of setting up their own sessions and supporting students in the process. Is there any documented practise how to prepare teachers for a Lego We Do/Scratch acctivities? Kind regards, Urso Wieske"
24238,"""Real"" Programming",12/7/13 10:08,"Hi ScratchEd! I received a great email this morning -- If some person pronounces that visual programming is not ""real"" programming, what resource should I point them to? I've encountered this misconception (that visual programming != real programming) before. It made me wonder how many of you have also encountered it -- and how you think about it. How do you respond? Thanks! K"
24238,"""Real"" Programming",12/7/13 13:03,"Was Barbara Cartland a ""real"" writer? After all, she never used a typewriter but dictated all of her bestselling books."
24238,"""Real"" Programming",12/7/13 16:10,"Hello I would give the example of HTML creation tool. It is possible to write direcly the tags on a text document or use a a WYSIWYG tool like dreamwaver. Using a WYSIWYG tool will save a HUGE Time and it is accessible to everyone even with no background on CS. And after all, why programming should be difficult with typing code. Later I want to open a thread: Do we still need to write algorithm on a paper and than translate them into a programming language?I think with scratch there is no nead any more. Hope that it helps. ADEL"
