NID	Topic	Topic Created	Topic Body
220	"Creative Computing Workshop, July 16-18, 2009"	6/27/09 9:49	"We're really excited to be hosting the Creative Computing workshop from July 16 to July 18 at MIT Media Lab. At the workshop, we'll explore new educational technologies and instructional strategies to engage students in creative design activities -- and, in the process, help students develop as computational thinkers and computational creators. For more information, please visit http://cs4hs.media.mit.edu/"
221	NECC 2009	6/27/09 9:59	"Are you going to be at NECC in Washington, DC from June 28 to July 1? We'll be there for sessions: * Imagine, Program, Share: Stories from the Worldwide Scratch Community Presentation by Mitch Monday, 6/29/2009, 12:30pm–1:30pm WWCC Ballroom A Hear how students around the world are learning to think creatively, reason systematically, and work collaborative as they create and share interactive projects with Scratch. * Introduction to Scratch Hands-on session with Mitch and I Monday, 6/29/2009, 3:30pm–4:30pm WWCC 152 A Members of the Scratch Team from MIT Media Lab will show you how to program and share interactive stories, games, and animations with Scratch. * Using Scratch in Your Classroom Workshop with Mitch and I Tuesday, 6/30/2009, 8:30am–11:30am WWCC 144 A Join members of the MIT Media Lab Scratch team to explore the possibilities of bringing Scratch, a new creative programming language, into your classroom. * Scratch-Ed: An Online Community for Scratch Educators Poster session with me Wednesday, 7/1/2009, 9:00am–11:00am WWCC East Registration Lobby, Table: 9 Scratch-Ed is a Web site for educators who support learning with Scratch. Educators can share stories, exchange resources, ask questions, and find people. Hope to see you there!"
253	Using Scratch in ELL Learning	5/21/10 13:24	Teachers at the Governor's Career and Technical Academy in Arlington are using Scratch with our English Language Learners.  This discussion will be used to document and share our experience.
269	School Project collections	7/2/09 20:06	"Hurray to Karen B.  for getting Scratch Ed up!  I'm interested in seeing how others are using Scratch in schools.  I've found a couple places where teachers have a school or class log-in and collected examples there or in galleries, but it is hard to sort them out from all the other users.  Would folks be willing to share such sites here? Here is mine from Expo School in St. Paul, MN: http://scratch.mit.edu/galleries/view/29."
298	"Building Learning Communities | July 27, 2009"	7/11/09 12:20	"We're happy to be hosting two pre-conference workshops for this year's November Learning conference. From 8:30 to 12:30, there's an introductory Scratch workshop and, from 1:30 to 5:30, there's a workshop about ScratchEd. If you've registered to attend either of these workshops, we'd love to hear from you! What prompted you to participate? What do you hope to get out of the experience?"
300	Resources Rating System	7/11/09 16:52	"I received a suggestion for adding ratings to the resources. Currently, it's possible to ""feature"" resources (and then look at the collection of featured resources). People can also bookmark/favorite resources they like (and then sort the resources that way). What sort of ratings system do you think would be useful and why?"
314	"Screencasts, publish on YouTube?"	7/13/09 13:07	"Hi all. It’s great to see this Web site. I am considering using YouTube to host a series of Scratch tutorial screencasts (created from ScreenFlow on a Mac). I have one video there now which gives a quick overview of my teaching with Scratch, Alice, Python and Pygame. How do you publish your tutorial videos? Care to share any details such as software, screen resolution, video codecs used, etc.? I find so far that the quality on YouTube (even at “HD”) is not as good as the QuickTime mov file I produce from ScreenFlow, but I can read the Scratch blocks pretty well. Dave Briccetti Lafayette, California"
315	Nice discussions software	7/13/09 13:08	"I saved something in the wrong category, and found I could edit it and move it. Nice."
317	Scratch at Silicon Valley Code Camp	7/13/09 14:14	"I’m giving two talks about Scratch (and Alice and some graphics software) at Silicon Valley Code Camp in the beginning of October. This is a free conference. I could use some volunteers to walk around and help students with Scratch. I usually use my older students for this, but perhaps there are some adult educators in the area who are skilled with Scratch."
318	How do you introduce Scratch to beginners?	7/13/09 21:19	"Do you have any favorite activities or approaches to introduce Scratch to beginners? At the moment, I really like something from this set: 8 blocks: Create any project given a particular set of eight Scratch blocks. Monkey business: (with very little introduction to the Scratch user interface, just showing how to snap blocks together) Create a project where something surprising happens to a monkey. Interactive me: (with a walkthrough of how to create an interactive sprite) Create an interactive project that helps others learn about you and the people, issues, and things you care about. What do you do?"
319	Scratch 1.4 Available	7/13/09 21:24	"In case you haven't yet heard, the latest version of Scratch is now available for download! New features include: keyboard input with the ask block webcam integration string manipulators LEGO WeDo support support for smaller screens (like on netbooks) Have you tried it already?"
338	What is computational thinking?	7/16/09 10:19	"In his talk this morning at the Creative Computing workshop, Mitch asked: ""What does computational thinking mean to you?"" What do you think?"
344	Art and Technology	7/16/09 13:31	In connection with afternoon's session of the Creative Computing workshop.... * How does technology inspire you to think about art in new ways? * How does art inspire you to think about technology in new ways?
348	How do you explain parallelism and events?	7/17/09 8:58	We're exploring a variety of computational concepts at the Creative Computing workshop. Today we've been exploring the ideas of parallelism and events. How would you explain these two concepts?
349	What is a story?	7/17/09 9:02	"In today's Creative Computing workshop, we've been creating stories with Scratch. What was your experience of creating stories with Scratch? How does Scratch expand (or limit) what it means to tell a story?"
350	Before the end of Creative Computing	7/17/09 14:18	"In preparation for our final day of Creative Computing tomorrow, it would be great to know what you hope to ask/get/know/share before our time together is over. Let's start a list..."
355	"Games, games, games"	7/18/09 10:04	"We've been looking at games this morning at the Creative Computing workshop. What games do you play? What did you think of the games we've been seeing and creating today? Where do games fit into school? Vicki posted about a game she works with:  "" If you haven't used Medmyst from Rice Univ. - you might want to check it out. It is all about Infectious Disease and I think they have done a wonder job! The URL is http://medmyst.rice.edu/ """
358	Page names in Scratch Ed	7/19/09 17:34	"I just noticed something when trying to direct someone to a specific page at Scratch ed, in the regular Scratch forums.  The pages all have the same URL?  Being able to give a particular resource's address is handy, or is there another way to link to a specific section of this site?"
388	Suggestion: Run Scratch Projects in Web Page	7/24/09 8:58	"It's great that you can attach Scratch projects to resources and stories and download them. It would also be nice to be able to run them directly in the browser. Maybe each project thumbnail could have under it a ""play"" and ""download"" button or something?"
401	math & physics resources	7/26/09 14:29	"hello, i am diving into scratch and i hope to be ready before september begins, in order to start 1 or 2 courses for kids in my school; now, my question: i already know scratch is totally helpful in math and physics teaching but i'd like to know if there is any book or web resource where projects regarding these curricula are grouped by age or grades of kids or, better, math (or physics) topics, e.g.: - algebra projects - geometry projects - calculus projects etc. more exactely, i mean that you may find hundreds of projects tagged math or physics in the scratch site but they span a very different level of complexity and so i have to check each of them one by one ... maybe a finer tuned tagging could help in this view, like: math/geometry math/basic_arithmetic math/algebra and the same for physics thank you in advance ps: if my question is not clear, just ask me more details"
